Region by Zone,Vacancy Rate (%),Average Rent ($),Median Rent ($),% Change,Units,Year
West End/Stanley Park,0.5,"1,606","1,580",5.3,"3,859",2019
English Bay,0.7,"1,701","1,730",5.4,"6,624",2019
Downtown,1.4,"1,741","1,650",4.6,"11,036",2019
South Granville/Oak,0.5,"1,543","1,500",2.7,"8,042",2019
Kitsilano/Point Grey,0.6,"1,664","1,600",5.7,"7,244",2019
Westside/Kerrisdale,1.1,"1,747","1,660",4.0,"3,080",2019
Marpole,1.0,"1,221","1,158",5.7,"4,010",2019
Mount Pleasant/Renfrew Heights,1.4,"1,394","1,335",3.0,"6,519",2019
East Hastings,0.6,"1,343","1,250",5.6,"5,674",2019
Southeast Vancouver,2.7,"1,542","1,450",5.2,"2,781",2019
University Endowment Lands,0.8,"2,097","2,000",5.5,"1,697",2019
Central Park/Metrotown,1.4,"1,343","1,263",4.8,"5,383",2019
Southeast Burnaby,0.8,"1,156","1,125",6.4,"2,365",2019
North Burnaby,1.5,"1,393","1,336",4.3,"4,123",2019
New Westminster,1.2,"1,305","1,229",5.0,"9,105",2019
North Vancouver CY,0.5,"1,471","1,413",3.1,"6,143",2019
North Vancouver DM,2.6,"1,881","1,707",9.6,"1,399",2019
West Vancouver,1.2,"2,024","1,825",7.7,"2,340",2019
Richmond,0.5,"1,427","1,382",4.1,"3,762",2019
Delta,1.1,"1,095","1,020",3.9,"1,695",2019
Surrey,0.5,"1,161","1,125",5.6,"6,006",2019
White Rock,1.7,"1,164","1,100",4.1,"1,392",2019
Langley City and Langley DM,3.1,"1,392","1,350",3.7,"3,145",2019
Tri-Cities,1.9,"1,344","1,279",3.7,"4,527",2019
Maple Ridge/Pitt Meadows,2.0,"1,102","1,125",5.5,"1,697",2019
Vancouver,1.1,"1,480","1,400",4.7,"113,648",2019
West End/Stanley Park,1.2,"1,602","1,585",++,"3,858",2020
English Bay,1.6,"1,686","1,650",-2.4,"6,681",2020
Downtown,6.3,"1,821","1,725",3.2,"11,802",2020
South Granville/Oak,2.4,"1,570","1,500",2.6,"8,006",2020
Kitsilano/Point Grey,1.7,"1,680","1,600",-1.3,"7,246",2020
Westside/Kerrisdale,2.1,"1,704","1,600",++,"3,056",2020
